product_id,product_type,face,,Tipo de producto,Modelo,Color,Forma,Codificación
31508,P-GG-IN-RC,GOOGLE,,,,,,
31509,P-GG-IN-RC,GOOGLE,,,,,,
31510,P-GG-IN-RC,GOOGLE,,,,,,
31511,P-GG-IN-RC,GOOGLE,,,,,,
31512,P-GG-IN-RC,GOOGLE,,,,,,
31513,P-GG-IN-RC,GOOGLE,,,,,,
31514,P-GG-IN-RC,GOOGLE,,,,,,
31515,P-GG-IN-RC,GOOGLE,,,,,,
31516,P-GG-IN-RC,GOOGLE,,,,,,
31517,P-GG-IN-RC,GOOGLE,,,,,,
31518,P-GG-IN-RC,GOOGLE,,,,,,
31519,P-GG-IN-RC,GOOGLE,,,,,,
31520,P-GG-IN-RC,GOOGLE,,,,,,
31521,P-GG-IN-RC,GOOGLE,,,,,,
31522,P-GG-IN-RC,GOOGLE,,,,,,
31523,P-GG-IN-RC,GOOGLE,,,,,,
31524,P-GG-IN-RC,GOOGLE,,,,,,
31525,P-GG-IN-RC,GOOGLE,,,,,,
31526,P-GG-IN-RC,GOOGLE,,,,,,
31527,P-GG-IN-RC,GOOGLE,,,,,,
31528,P-GG-IN-RC,GOOGLE,,,,,,
31529,P-GG-IN-RC,GOOGLE,,,,,,
31530,P-GG-IN-RC,GOOGLE,,,,,,
31531,P-GG-IN-RC,GOOGLE,,,,,,
31532,P-GG-IN-RC,GOOGLE,,,,,,
31533,P-GG-IN-RC,GOOGLE,,,,,,
31534,P-GG-IN-RC,GOOGLE,,,,,,
31535,P-GG-IN-RC,GOOGLE,,,,,,
31536,P-GG-IN-RC,GOOGLE,,,,,,
31537,P-GG-IN-RC,GOOGLE,,,,,,
31538,P-GG-IN-RC,GOOGLE,,,,,,
31539,P-GG-IN-RC,GOOGLE,,,,,,
31540,P-GG-IN-RC,GOOGLE,,,,,,
31541,P-GG-IN-RC,GOOGLE,,,,,,
31542,P-GG-IN-RC,GOOGLE,,,,,,
31543,P-GG-IN-RC,GOOGLE,,,,,,
31544,P-GG-IN-RC,GOOGLE,,,,,,
31545,P-GG-IN-RC,GOOGLE,,,,,,
31546,P-GG-IN-RC,GOOGLE,,,,,,
31547,P-GG-IN-RC,GOOGLE,,,,,,
31548,P-GG-IN-RC,GOOGLE,,,,,,
31549,P-GG-IN-RC,GOOGLE,,,,,,
31550,P-GG-IN-RC,GOOGLE,,,,,,
31551,P-GG-IN-RC,GOOGLE,,,,,,
31552,P-GG-IN-RC,GOOGLE,,,,,,
31553,P-GG-IN-RC,GOOGLE,,,,,,
31554,P-GG-IN-RC,GOOGLE,,,,,,
31555,P-GG-IN-RC,GOOGLE,,,,,,
31556,P-GG-IN-RC,GOOGLE,,,,,,
31557,P-GG-IN-RC,GOOGLE,,,,,,
31558,P-GG-IN-RC,GOOGLE,,,,,,
31559,P-GG-IN-RC,GOOGLE,,,,,,
31560,P-GG-IN-RC,GOOGLE,,,,,,
31561,P-GG-IN-RC,GOOGLE,,,,,,
31562,P-GG-IN-RC,GOOGLE,,,,,,
31563,P-GG-IN-RC,GOOGLE,,,,,,
31564,P-GG-IN-RC,GOOGLE,,,,,,
31565,P-GG-IN-RC,GOOGLE,,,,,,
31566,P-GG-IN-RC,GOOGLE,,,,,,
31567,P-GG-IN-RC,GOOGLE,,,,,,
31568,P-GG-IN-RC,GOOGLE,,,,,,
31569,P-GG-IN-RC,GOOGLE,,,,,,
31570,P-GG-IN-RC,GOOGLE,,,,,,
31571,P-GG-IN-RC,GOOGLE,,,,,,
31572,P-GG-IN-RC,GOOGLE,,,,,,
31573,P-GG-IN-RC,GOOGLE,,,,,,
31574,P-GG-IN-RC,GOOGLE,,,,,,
31575,P-GG-IN-RC,GOOGLE,,,,,,
31576,P-GG-IN-RC,GOOGLE,,,,,,
31577,P-GG-IN-RC,GOOGLE,,,,,,
31578,P-GG-IN-RC,GOOGLE,,,,,,
31579,P-GG-IN-RC,GOOGLE,,,,,,
31580,P-GG-IN-RC,GOOGLE,,,,,,
31581,P-GG-IN-RC,GOOGLE,,,,,,
31582,P-GG-IN-RC,GOOGLE,,,,,,
31583,P-GG-IN-RC,GOOGLE,,,,,,
31584,P-GG-IN-RC,GOOGLE,,,,,,
31585,P-GG-IN-RC,GOOGLE,,,,,,
31586,P-GG-IN-RC,GOOGLE,,,,,,
31587,P-GG-IN-RC,GOOGLE,,,,,,
31588,P-GG-IN-RC,GOOGLE,,,,,,
31589,P-GG-IN-RC,GOOGLE,,,,,,
31590,P-GG-IN-RC,GOOGLE,,,,,,
31591,P-GG-IN-RC,GOOGLE,,,,,,
31592,P-GG-IN-RC,GOOGLE,,,,,,
31593,P-GG-IN-RC,GOOGLE,,,,,,
31594,P-GG-IN-RC,GOOGLE,,,,,,
31595,P-GG-IN-RC,GOOGLE,,,,,,
31596,P-GG-IN-RC,GOOGLE,,,,,,
31597,P-GG-IN-RC,GOOGLE,,,,,,
31598,P-GG-IN-RC,GOOGLE,,,,,,
31599,P-GG-IN-RC,GOOGLE,,,,,,
31600,P-GG-IN-RC,GOOGLE,,,,,,
31601,P-GG-IN-RC,GOOGLE,,,,,,
31602,P-GG-IN-RC,GOOGLE,,,,,,
31603,P-GG-IN-RC,GOOGLE,,,,,,
31604,P-GG-IN-RC,GOOGLE,,,,,,
31605,P-GG-IN-RC,GOOGLE,,,,,,
31606,P-GG-IN-RC,GOOGLE,,,,,,
31607,P-GG-IN-RC,GOOGLE,,,,,,
31608,P-GG-IN-RC,GOOGLE,,,,,,
31609,P-GG-IN-RC,GOOGLE,,,,,,
31610,P-GG-IN-RC,GOOGLE,,,,,,
31611,P-GG-IN-RC,GOOGLE,,,,,,
31612,P-GG-IN-RC,GOOGLE,,,,,,
31613,P-GG-IN-RC,GOOGLE,,,,,,
31614,P-GG-IN-RC,GOOGLE,,,,,,
31615,P-GG-IN-RC,GOOGLE,,,,,,
31616,P-GG-IN-RC,GOOGLE,,,,,,
31617,P-GG-IN-RC,GOOGLE,,,,,,
31618,P-GG-IN-RC,GOOGLE,,,,,,
31619,P-GG-IN-RC,GOOGLE,,,,,,
31620,P-GG-IN-RC,GOOGLE,,,,,,
31621,P-GG-IN-RC,GOOGLE,,,,,,
31622,P-GG-IN-RC,GOOGLE,,,,,,
31623,P-GG-IN-RC,GOOGLE,,,,,,
31624,P-GG-IN-RC,GOOGLE,,,,,,
31625,P-GG-IN-RC,GOOGLE,,,,,,
31626,P-GG-IN-RC,GOOGLE,,,,,,
31627,P-GG-IN-RC,GOOGLE,,,,,,
31628,P-GG-IN-RC,GOOGLE,,,,,,
31629,P-GG-IN-RC,GOOGLE,,,,,,
31630,P-GG-IN-RC,GOOGLE,,,,,,
31631,P-GG-IN-RC,GOOGLE,,,,,,
31632,P-GG-IN-RC,GOOGLE,,,,,,
31633,P-GG-IN-RC,GOOGLE,,,,,,
31634,P-GG-IN-RC,GOOGLE,,,,,,
31635,P-GG-IN-RC,GOOGLE,,,,,,
31636,P-GG-IN-RC,GOOGLE,,,,,,
31637,P-GG-IN-RC,GOOGLE,,,,,,
31638,P-GG-IN-RC,GOOGLE,,,,,,
31639,P-GG-IN-RC,GOOGLE,,,,,,
31640,P-GG-IN-RC,GOOGLE,,,,,,
31641,P-GG-IN-RC,GOOGLE,,,,,,
31642,P-GG-IN-RC,GOOGLE,,,,,,
31643,P-GG-IN-RC,GOOGLE,,,,,,
31644,P-GG-IN-RC,GOOGLE,,,,,,
31645,P-GG-IN-RC,GOOGLE,,,,,,
31646,P-GG-IN-RC,GOOGLE,,,,,,
31647,P-GG-IN-RC,GOOGLE,,,,,,
31648,P-GG-IN-RC,GOOGLE,,,,,,
31649,P-GG-IN-RC,GOOGLE,,,,,,
31650,P-GG-IN-RC,GOOGLE,,,,,,
31651,P-GG-IN-RC,GOOGLE,,,,,,
31652,P-GG-IN-RC,GOOGLE,,,,,,
31653,P-GG-IN-RC,GOOGLE,,,,,,
31654,P-GG-IN-RC,GOOGLE,,,,,,
31655,P-GG-IN-RC,GOOGLE,,,,,,
31656,P-GG-IN-RC,GOOGLE,,,,,,
31657,P-GG-IN-RC,GOOGLE,,,,,,
31658,P-GG-IN-RC,GOOGLE,,,,,,
31659,P-GG-IN-RC,GOOGLE,,,,,,
31660,P-GG-IN-RC,GOOGLE,,,,,,
31661,P-GG-IN-RC,GOOGLE,,,,,,
31662,P-GG-IN-RC,GOOGLE,,,,,,
31663,P-GG-IN-RC,GOOGLE,,,,,,
31664,P-GG-IN-RC,GOOGLE,,,,,,
31665,P-GG-IN-RC,GOOGLE,,,,,,
31666,P-GG-IN-RC,GOOGLE,,,,,,
31667,P-GG-IN-RC,GOOGLE,,,,,,
31668,P-GG-IN-RC,GOOGLE,,,,,,
31669,P-GG-IN-RC,GOOGLE,,,,,,
31670,P-GG-IN-RC,GOOGLE,,,,,,
31671,P-GG-IN-RC,GOOGLE,,,,,,
31672,P-GG-IN-RC,GOOGLE,,,,,,
31673,P-GG-IN-RC,GOOGLE,,,,,,
